timestamp,operating_mode,cycle_id,ambient_temperature,tank_pressure,tank_temperature,compressor_power,turbine_power,mass_flow
2026-01-01 00:00:00,STANDBY,1,20.0,249.998,24.95,0.0,0.0,0.0
2026-01-01 00:00:10,STANDBY,1,20.00109089388889,249.99599999999998,24.900510908938887,0.0,0.0,0.0
2026-01-01 00:00:20,STANDBY,1,20.002181787633535,249.99399999999997,24.851527617725832,0.0,0.0,0.0
2026-01-01 00:00:30,STANDBY,1,20.003272681089683,249.99199999999996,24.80304506835947,0.0,0.0,0.0
2026-01-01 00:00:40,STANDBY,1,20.004363574113096,249.98999999999995,24.755058253417005,0.0,0.0,0.0
2026-01-01 00:00:50,STANDBY,1,20.005454466559524,249.98799999999994,24.70756221554843,0.0,0.0,0.0
2026-01-01 00:01:00,STANDBY,1,20.00654535828472,249.98599999999993,24.66055204697579,0.0,0.0,0.0
2026-01-01 00:01:10,STANDBY,1,20.007636249144433,249.98399999999992,24.61402288899748,0.0,0.0,0.0
2026-01-01 00:01:20,STANDBY,1,20.008727138994427,249.9819999999999,24.567969931497448,0.0,0.0,0.0
2026-01-01 00:01:30,STANDBY,1,20.00981802769045,249.9799999999999,24.522388412459378,0.0,0.0,0.0
2026-01-01 00:01:40,STANDBY,1,20.010908915088258,249.9779999999999,24.477273617485668,0.0,0.0,0.0
2026-01-01 00:01:50,STANDBY,1,20.011999801043604,249.97599999999989,24.43262087932125,0.0,0.0,0.0
2026-01-01 00:02:00,STANDBY,1,20.013090685412244,249.97399999999988,24.388425577382158,0.0,0.0,0.0
2026-01-01 00:02:10,STANDBY,1,20.014181568049935,249.97199999999987,24.344683137288836,0.0,0.0,0.0
2026-01-01 00:02:20,STANDBY,1,20.015272448812425,249.96999999999986,24.30138903040407,0.0,0.0,0.0
2026-01-01 00:02:30,STANDBY,1,20.016363327555478,249.96799999999985,24.258538773375584,0.0,0.0,0.0
2026-01-01 00:02:40,STANDBY,1,20.017454204134843,249.96599999999984,24.216127927683175,0.0,0.0,0.0
2026-01-01 00:02:50,STANDBY,1,20.01854507840628,249.96399999999983,24.174152099190405,0.0,0.0,0.0
2026-01-01 00:03:00,STANDBY,1,20.019635950225542,249.96199999999982,24.132606937700757,0.0,0.0,0.0
2026-01-01 00:03:10,STANDBY,1,20.020726819448388,249.9599999999998,24.091488136518233,0.0,0.0,0.0
2026-01-01 00:03:20,STANDBY,1,20.02181768593057,249.9579999999998,24.050791432012357,0.0,0.0,0.0
2026-01-01 00:03:30,STANDBY,1,20.022908549527855,249.9559999999998,24.01051260318751,0.0,0.0,0.0
2026-01-01 00:03:40,STANDBY,1,20.023999410095993,249.95399999999978,23.970647471256594,0.0,0.0,0.0
2026-01-01 00:03:50,STANDBY,1,20.02509026749074,249.95199999999977,23.931191899218934,0.0,0.0,0.0
2026-01-01 00:04:00,STANDBY,1,20.026181121567863,249.94999999999976,23.892141791442423,0.0,0.0,0.0
2026-01-01 00:04:10,STANDBY,1,20.02727197218311,249.94799999999975,23.85349309324983,0.0,0.0,0.0
2026-01-01 00:04:20,STANDBY,1,20.028362819192253,249.94599999999974,23.815241790509255,0.0,0.0,0.0
2026-01-01 00:04:30,STANDBY,1,20.02945366245104,249.94399999999973,23.77738390922867,0.0,0.0,0.0
2026-01-01 00:04:40,STANDBY,1,20.03054450181524,249.94199999999972,23.739915515154536,0.0,0.0,0.0
2026-01-01 00:04:50,STANDBY,1,20.031635337140607,249.9399999999997,23.702832713374395,0.0,0.0,0.0
2026-01-01 00:05:00,STANDBY,1,20.032726168282906,249.9379999999997,23.66613164792348,0.0,0.0,0.0
2026-01-01 00:05:10,STANDBY,1,20.033816995097897,249.9359999999997,23.62980850139522,0.0,0.0,0.0
